Author,Title,Year,Publication,DOI
"Vega-Ferrero, J. and Dom\'\inguez S\'anchez, H. and Bernardi, M. and Huertas-Company, M. and Morgan, R. and Margalef, B. and Aguena, M. and Allam, S. and Annis, J. and Avila, S. and Bacon, D. and Bertin, E. and Brooks, D. and Carnero Rosell, A. and Carrasco Kind, M. and Carretero, J. and Choi, A. and Conselice, C. and Costanzi, M. and da Costa, L.~N. and Pereira, M.~E.~S. and De Vicente, J. and Desai, S. and Ferrero, I. and Fosalba, P. and Frieman, J. and Garc\'\ia-Bellido, J. and Gruen, D. and Gruendl, R.~A. and Gschwend, J. and Gutierrez, G. and Hartley, W.~G. and Hinton, S.~R. and Hollowood, D.~L. and Honscheid, K. and Hoyle, B. and Jarvis, M. and Kim, A.~G. and Kuehn, K. and Kuropatkin, N. and Lima, M. and Maia, M.~A.~G. and Menanteau, F. and Miquel, R. and Ogando, R.~L.~C. and Palmese, A. and Paz-Chinch\'on, F. and Plazas, A.~A. and Romer, A.~K. and Sanchez, E. and Scarpine, V. and Schubnell, M. and Serrano, S. and Sevilla-Noarbe, I. and Smith, M. and Suchyta, E. and Swanson, M.~E.~C. and Tarle, G. and Tarsitano, F. and To, C. and Tucker, D.~L. and Varga, T.~N. and Wilkinson, R.~D.","Pushing automated morphological classifications to their limits with the Dark Energy Survey","2021","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stab594"
"Curran, S.~J.","Intervening or associated? Machine learning classification of redshifted H I 21-cm absorption","2021","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stab1865"
"Yoshiura, Shintaro and Shimabukuro, Hayato and Hasegawa, Kenji and Takahashi, Keitaro","Predicting 21 cm-line map from Lyman-\ensuremath\alpha emitter distribution with generative adversarial networks","2021","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stab1718"
"Ca\~nameras, R. and Schuldt, S. and Shu, Y. and Suyu, S.~H. and Taubenberger, S. and Meinhardt, T. and Leal-Taix\'e, L. and Chao, D.~C. -Y. and Inoue, K.~T. and Jaelani, A.~T. and More, A.","HOLISMOKES. VI. New galaxy-scale strong lens candidates from the HSC-SSP imaging survey","2021","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202141758"
"Bilicki, M. and Dvornik, A. and Hoekstra, H. and Wright, A.~H. and Chisari, N.~E. and Vakili, M. and Asgari, M. and Giblin, B. and Heymans, C. and Hildebrandt, H. and Holwerda, B.~W. and Hopkins, A. and Johnston, H. and Kannawadi, A. and Kuijken, K. and Nakoneczny, S.~J. and Shan, H.~Y. and Sonnenfeld, A. and Valentijn, E.","Bright galaxy sample in the Kilo-Degree Survey Data Release 4. Selection, photometric redshifts, and physical properties","2021","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202140352"
"Germani, S. and Tosti, G. and Lubrano, P. and Cutini, S. and Mereu, I. and Berretta, A.","Artificial Neural Network classification of 4FGL sources","2021","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stab1748"
"Stahl, Benjamin E. and de Jaeger, Thomas and Zheng, WeiKang and Filippenko, Alexei V.","The snapshot distance method: estimating the distance to a Type Ia supernova from minimal observations","2021","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stab1367"
"Lu, Hong-peng and Karoff, Christoffer and Zhang, Li-yun","Magnetic activity and age estimation of red giants using neural networks","2021","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stab1395"
"Zhu, K.~R. and Kang, S.~J. and Zhou, R.~X. and Zheng, Y.~G.","Searching for TeV Candidates in 4LAC High-synchrotron- peaked Frequency BL Lac Objects","2021","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac088c"
"Peruzzi, T. and Pasquato, M. and Ciroi, S. and Berton, M. and Marziani, P. and Nardini, E.","Interpreting automatic AGN classifiers with saliency maps","2021","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202038911"
"Jarolim, R. and Veronig, A.~M. and Hofmeister, S. and Heinemann, S.~G. and Temmer, M. and Podladchikova, T. and Dissauer, K.","Multi-channel coronal hole detection with convolutional neural networks","2021","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202140640"
"Fraga, Bernardo M.~O. and Barres de Almeida, Ulisses and Bom, Cl\'ecio R. and Brandt, Carlos H. and Giommi, Paolo and Schubert, Patrick and de Albuquerque, M\'arcio P.","Deep learning Blazar classification based on multifrequency spectral energy distribution data","2021","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stab1349"
"Pham, Dang and Kaltenegger, Lisa","Color classification of Earth-like planets with machine learning","2021","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stab1144"
"Saifollahi, Teymoor and Janz, Joachim and Peletier, Reynier F. and Cantiello, Michele and Hilker, Michael and Mieske, Steffen and Valentijn, Edwin A. and Venhola, Aku and Verdoes Kleijn, Gijs","Ultra-compact dwarfs beyond the centre of the Fornax galaxy cluster: hints of UCD formation in low-density environments","2021","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stab1118"
"Gilda, Sankalp and Lower, Sidney and Narayanan, Desika","MIRKWOOD: Fast and Accurate SED Modeling Using Machine Learning","2021","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac0058"
