"Author","Title","Year","Publication","DOI"
"B. Guo","Hyperspectral Image Classification via Matching Absorption Features","2019","IEEE Access","https://doi.org/10.1109/ACCESS.2019.2940268"
"M. Karimi; M. Farshad; R. Azizipanah-Abarghooee; K. Kauhaniemi","Harmonic Signature-Based One-Class Classifier for Islanding Detection in Microgrids","2023","IEEE Systems Journal","https://doi.org/10.1109/JSYST.2023.3279389"
"W. Mao; Y. Liu; L. Ding; Y. Li","Imbalanced Fault Diagnosis of Rolling Bearing Based on Generative Adversarial Network: A Comparative Study","2019","IEEE Access","https://doi.org/10.1109/ACCESS.2018.2890693"
"F. Ebrahimi; R. Ahmed; S. Habibi","State of Temperature Estimation of Li-Ion Batteries Using 3rd Order Smooth Variable Structure Filter","2023","IEEE Access","https://doi.org/10.1109/ACCESS.2023.3327062"
"J. Zhang; Y. Chen; Y. Liu; H. Wu","Spectrum Knowledge and Real-Time Observing Enabled Smart Spectrum Management","2020","IEEE Access","https://doi.org/10.1109/ACCESS.2020.2978005"
"Y. Zhong; S. Cui; H. Lu; C. Ke; H. Wang; P. Jiang; D. Liu","A Robust Reference Optical Spectrum Based in-Band OSNR Monitoring Method Suitable for Flexible Optical Networks","2020","IEEE Photonics Journal","https://doi.org/10.1109/JPHOT.2020.2983058"
"T. Cheng; B. Wang","Decomposition Model With Background Dictionary Learning for Hyperspectral Target Detection","2021","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","https://doi.org/10.1109/JSTARS.2021.3049843"
"P. -Y. Chen; K. -H. Chao; Y. -C. Tseng","A Motor Fault Diagnosis System Based on Cerebellar Model Articulation Controller","2019","IEEE Access","https://doi.org/10.1109/ACCESS.2019.2937103"
"I. H. Shahrezaei; H. -C. Kim","Directional Wave Scattering Distribution Modes Analysis and Synthesis of Random Ocean Media Roughness for SAR Electromagnetic Interactions Using Feature Fusion in Dynamic Sea States: A Survey","2024","IEEE Access","https://doi.org/10.1109/ACCESS.2024.3380201"
"L. Liu; D. Hong; L. Ni; L. Gao","Multilayer Cascade Screening Strategy for Semi-Supervised Change Detection in Hyperspectral Images","2022","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","https://doi.org/10.1109/JSTARS.2022.3150571"
"O. S. Mizrahi; M. F. Imani; K. P. Trofatter; J. N. Gollub; D. R. Smith","2D Ray Tracing Analysis of a Dynamic Metasurface Antenna as a Smart Motion Detector","2019","IEEE Access","https://doi.org/10.1109/ACCESS.2019.2949739"
"C. -H. Su; L. -W. Ko; T. -P. Jung; J. Onton; S. -C. Tzou; J. -C. Juang; C. -Y. Hsu","Extracting Stress-Related EEG Patterns From Pre-Sleep EEG for Forecasting Slow-Wave Sleep Deficiency","2024","IEEE Transactions on Neural Systems and Rehabilitation Engineering","https://doi.org/10.1109/TNSRE.2024.3394471"
"Q. Li; J. Li; T. Li; Y. Feng","A Joint Framework for Underwater Hyperspectral Image Restoration and Target Detection With Conditional Diffusion Model","2024","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","https://doi.org/10.1109/JSTARS.2024.3464557"
"H. Chen; Y. He; L. Wei; X. Li; Y. Zhang","Automatic Dewarping of Retina Images in Adaptive Optics Confocal Scanning Laser Ophthalmoscope","2019","IEEE Access","https://doi.org/10.1109/ACCESS.2019.2914463"
"W. Li; Y. He; W. Kong; F. Gao; J. Wang; G. Shi","Enhancement of Retinal Image From Line-Scanning Ophthalmoscope Using Generative Adversarial Networks","2019","IEEE Access","https://doi.org/10.1109/ACCESS.2019.2930329"
"M. Mahlayeye; R. Darvishzadeh; C. Jepkosgei; K. A. Mlawa; A. Nelson","DESIS Hyperspectral Satellite Data for Cropping Pattern Classification","2024","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","https://doi.org/10.1109/JSTARS.2024.3457791"
"H. Zhao; P. Luo; W. Cui; C. Xia; X. Xu; Z. Feng; J. Chen; J. Wang; W. Xun; C. Chen","Geographical Scenario Knowledge-Informed Graph Structure Attention for Image Segmentation","2025","IEEE Transactions on Geoscience and Remote Sensing","https://doi.org/10.1109/TGRS.2024.3521238"
"T. Nakashika; K. Yatabe","Gamma Boltzmann Machine for Audio Modeling","2021","IEEE/ACM Transactions on Audio, Speech, and Language Processing","https://doi.org/10.1109/TASLP.2021.3095656"
"A. Bar; R. Talmon","On Interference-Rejection Using Riemannian Geometry for Direction of Arrival Estimation","2024","IEEE Transactions on Signal Processing","https://doi.org/10.1109/TSP.2023.3322779"
"Z. H. Chen; W. Chen; Z. Cheng; G. -W. Lu; J. Wang","Corrections to “Deep Learning-Assisted Enhanced Fano Resonances in Symmetry-Breaking SOI Metasurface” [Feb 22 Art. no. 5702107]","2022","IEEE Photonics Journal","https://doi.org/10.1109/JPHOT.2021.3132805"
