Author,Title,Year,Publication,DOI
E. Aiello; M. Agarla; D. Valsesia; P. Napoletano; T. Bianchi; E. Magli; R. Schettini,Synthetic Data Pretraining for Hyperspectral Image Super-Resolution,2024,IEEE Access,https://doi.org/10.1109/ACCESS.2024.3396990
H. Zhang; W. Wang; X. Han; W. Sun,Specific Spectral Target Detection for Multispectral Images via Target-Focused Spectral Super-Resolution,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,https://doi.org/10.1109/JSTARS.2025.3547347
"Manteiga, M. and Santove\~na, R. and \'Alvarez, M.~A. and Dafonte, C. and Penedo, M.~G. and Navarro, S. and Corral, L.",Disentangling stellar atmospheric parameters in astronomical spectra using generative adversarial neural networks: Application to Gaia/RVS parameterisation,2025,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202451786
"Castell\'o, G. and Luna, M. and Terradas, J.",Fast Bayesian spectral analysis using convolutional neural networks: Applications to GONG H\ensuremath\alpha solar data,2025,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202452928
"El-Kholy, R.~I. and Hayman, Z.~M.",Optimised sampling of SDSS-IV MaStar spectra for stellar classification using supervised models,2025,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202451309
"Liu, Genghao and Tang, Baitian and Ren, Liangliang and Li, Chengyuan and Cheng, Sihao and Zong, Weikai and Fu, Jianning and Ma, Bo and Xu, Cheng and Hu, Yiming",A new code for low-resolution spectral identification of white dwarf binary candidates,2024,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202449775
"Cai, Jianghui and Zhang, Mingxing and Yang, Haifeng and Shi, Chenhui and Zhou, Lichan and He, Yanting and Su, Meihong and Zhao, Xujun and Chen, Jiongyu",Data mining techniques on astronomical spectra data - III. Association analysis,2024,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stae1525
"Sipp, Meris and LaChance, Patrick and Croft, Rupert and Ni, Yueying and Di Matteo, Tiziana",Towards super-resolution simulations of the fuzzy dark matter cosmological model,2023,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stad2341
"Li, Xiangru and Lin, Boyu",Estimating stellar parameters from LAMOST low-resolution spectra,2023,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stad831
"Shi, Jing-Hang and Qiu, Bo and Luo, A. -Li and He, Zhen-Dong and Kong, Xiao and Jiang, Xia",Stellar classification with convolutional neural networks and photometric images: a new catalogue of 50 million SDSS stars without spectra,2023,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stad255
"Yang, Haifeng and Zhou, Lichan and Cai, Jianghui and Shi, Chenhui and Yang, Yuqing and Zhao, Xujun and Duan, Juncheng and Yin, Xiaona",Data mining techniques on astronomical spectra data - II. Classification analysis,2023,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stac3292
"Yang, Haifeng and Shi, Chenhui and Cai, Jianghui and Zhou, Lichan and Yang, Yuqing and Zhao, Xujun and He, Yanting and Hao, Jing",Data mining techniques on astronomical spectra data - I. Clustering analysis,2022,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stac2975
"Li, Zhuohan and Zhao, Gang and Chen, Yuqin and Liang, Xilong and Zhao, Jingkun",The stellar parameters and elemental abundances from low-resolution spectra - I. 1.2 million giants from LAMOST DR8,2022,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stac1959
"Li, Xiangru and Zeng, Si and Wang, Zhu and Du, Bing and Kong, Xiao and Liao, Caixiu",Estimating atmospheric parameters from LAMOST low-resolution spectra with low SNR,2022,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stac1625
"Kerby, Stephen and Kaur, Amanpreet and Falcone, Abraham D. and Eskenasy, Ryan and Hancock, Fredric and Stroh, Michael C. and Ferrara, Elizabeth C. and Ray, Paul S. and Kennea, Jamie A. and Grove, Eric",Multiwavelength Spectral Analysis and Neural Network Classification of Counterparts to 4FGL Unassociated Sources,2021,The Astrophysical Journal,https://doi.org/10.3847/1538-4357/ac2e91
"Blanco-Cuaresma, Sergi",Modern stellar spectroscopy caveats,2019,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stz549
"Wu, J. and Clark, C.~J. and Pletsch, H.~J. and Guillemot, L. and Johnson, T.~J. and Torne, P. and Champion, D.~J. and Deneva, J. and Ray, P.~S. and Salvetti, D. and Kramer, M. and Aulbert, C. and Beer, C. and Bhattacharyya, B. and Bock, O. and Camilo, F. and Cognard, I. and Cu\'ellar, A. and Eggenstein, H.~B. and Fehrmann, H. and Ferrara, E.~C. and Kerr, M. and Machenschalk, B. and Ransom, S.~M. and Sanpa-Arsa, S. and Wood, K.","The Einstein@Home Gamma-ray Pulsar Survey. II. Source Selection, Spectral Analysis, and Multiwavelength Follow-up",2018,The Astrophysical Journal,https://doi.org/10.3847/1538-4357/aaa411
"Wang, Ke and Guo, Ping and Luo, A. -Li",A new automated spectral feature extraction method and its application in spectral classification and defective spectra recovery,2017,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stw2894
"Kuntzer, T. and Tewes, M. and Courbin, F.",Stellar classification from single-band imaging using machine learning,2016,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201628660
"Bu, Yude and Zhao, Gang and Pan, Jingchang and Bharat Kumar, Yerra",ELM: an Algorithm to Estimate the Alpha Abundance from Low-resolution Spectra,2016,The Astrophysical Journal,https://doi.org/10.3847/0004-637X/817/1/78
